,WM,WF,BM,BF,AM,AF,l(WM),l(WF),l(BM),l(BF),l(AM),l(AF),q(WM),q(WF),q(BM),q(BF),q(AM),q(AF)
1-,3,2,2,0,0,0,99997,99998,99998,100000,100000,100000,0.00003,0.00002,0.00002,0,0,0
1 – 4,3,1,0,1,0,0,99994,99997,99998,99999,100000,100000,3.00009E-05,1.00002E-05,0,0.00001,0,0
4 – 9,6,2,0,2,0,0,99988,99995,99998,99997,100000,100000,6.00036E-05,2.00006E-05,0,2.00002E-05,0,0
10 – 14,3,4,2,2,0,0,99985,99991,99996,99995,100000,100000,3.00036E-05,4.0002E-05,2.00004E-05,2.00006E-05,0,0
15 – 19,22,12,9,12,0,0,99963,99979,99987,99983,100000,100000,0.000220033,0.000120011,9.00036E-05,0.000120006,0,0
20 – 24,51,24,13,22,3,0,99912,99955,99974,99961,99997,100000,0.000510189,0.00024005,0.000130017,0.000220037,0.00003,0
25 – 29,79,49,42,41,0,2,99833,99906,99932,99920,99997,99998,0.000790696,0.000490221,0.000420109,0.00041016,0,0.00002
 30 – 34,155,96,74,56,6,4,99678,99810,99858,99864,99991,99994,0.001552593,0.000960903,0.000740504,0.000560448,6.00018E-05,4.00008E-05
35 – 39,328,171,125,89,12,3,99350,99639,99733,99775,99979,99991,0.003290596,0.001713255,0.001251778,0.000891212,0.000120011,3.00018E-05
40 – 44,533,312,189,159,12,6,98817,99327,99544,99616,99967,99985,0.005364872,0.003131304,0.00189506,0.001593586,0.000120025,6.00054E-05
45 – 49,1008,536,324,220,19,15,97809,98791,99220,99396,99948,99970,0.010200674,0.005396317,0.003254842,0.002208481,0.000190063,0.000150023
50 – 54,1583,996,471,418,48,23,96226,97795,98749,98978,99900,99947,0.016184605,0.01008189,0.004747027,0.004205401,0.00048025,0.000230069
55 – 59,2270,1403,649,554,79,48,93956,96392,98100,98424,99821,99899,0.023590298,0.014346337,0.006572218,0.005597203,0.000790791,0.000480255
60 – 64,2821,1884,644,639,89,57,91135,94508,97456,97785,99732,99842,0.030024692,0.01954519,0.00656473,0.006492319,0.000891596,0.000570576
65 – 69,3131,2133,635,696,101,81,88004,92375,96821,97089,99631,99761,0.034355626,0.022569518,0.006515761,0.007117656,0.001012714,0.000811282
70 – 74,3522,2866,682,848,104,105,84482,89509,96139,96241,99527,99656,0.040020908,0.03102571,0.007043926,0.008734254,0.001043852,0.001052516
75 – 79,4093,4051,609,930,110,130,80389,85458,95530,95311,99417,99526,0.04844819,0.045258019,0.006334578,0.009663241,0.001105228,0.001304487
80 – 84,4332,4935,560,969,111,186,76057,80523,94970,94342,99306,99340,0.05388797,0.057747666,0.005862033,0.010166717,0.001116509,0.001868858
85 – 89,3182,4566,312,732,105,129,72875,75957,94658,93610,99201,99211,0.041837043,0.056704296,0.003285248,0.007759004,0.001057338,0.001298571
90 -94,1317,2651,121,378,39,79,71558,73306,94537,93232,99162,99132,0.018072041,0.034901326,0.001278286,0.00403803,0.000393141,0.000796283
95-99,266,806,26,157,18,10,71292,72500,94511,93075,99144,99122,0.003717264,0.010995007,0.000275025,0.001683971,0.000181521,0.000100876
100+,34,146,4,41,4,5,71258,72354,94507,93034,99140,99117,0.000476912,0.002013793,4.23231E-05,0.000440505,4.03454E-05,5.04429E-05
